timestep	potential_energy	temperature
179999	9098808.789	0.9948278169
359999	9045355.332	0.9990782083
539999	9028670.22	0.9949004085
719999	9022583.035	1.008820324
899999	9021654.803	0.9943072411
1079999	9018783.957	1.001919649
1259999	9029601.388	1.007137675
1439999	9030842.93	0.9883907207
1619999	9029954.166	0.9988761289
1799999	9021171.454	1.00731421
1979999	9025478.389	0.9996502804
2159999	9038937.45	0.9882812306
2339999	9041735.379	0.9996779968
2519999	9024942.518	1.010299717
2699999	9037062.566	1.000884951
2879999	9035230.16	1.003688031
3059999	9054413.013	1.00383346
3239999	9028138.985	0.9974634407
3419999	9032940.373	0.9954191124
3599999	9020737.359	1.004345345
3779999	9023990.187	1.000059486
3959999	9025916.791	1.008568839
4139999	9021675.529	1.002224426
4319999	9034646.662	0.9946228993
4499999	9035044.164	1.00465005
4679999	9018763.727	0.9975838573
4859999	9026334.629	0.9991704557
5039999	9024112.06	1.002698438
5219999	9037508.842	1.005625555
5399999	9040862.121	1.007470035
5579999	9026470.113	1.004195586
5759999	9039121.473	0.999438303
5939999	9044849.945	0.9980968042
6119999	9035014.942	0.9947275757
6299999	9030042.03	1.005336544
6479999	9014812.197	1.002709151
6659999	9019811.511	0.9975245739
6839999	9049028.587	1.008386027
7019999	9046975.356	0.9985740028
7199999	9014215.949	0.9978335872
7379999	9025069.052	1.003412254
7559999	9034153.792	1.007304121
7739999	9045391.235	1.006023234
7919999	9020616.027	0.9941234452
8099999	9031118.888	0.9938725701
8279999	9024814.809	1.000686837
8459999	9026525.071	1.003155135
8639999	9043168.183	0.9919416809
8819999	9052106.674	1.008403182
8999999	9021641.359	0.9845691537
9179999	9042307.698	0.9989629943
9359999	9036508.141	1.00098653
9539999	9014243.393	1.008222608
9719999	9024128.549	0.9945327335
9899999	9028057.083	1.001779759
10079999	9105289.388	0.9964672347
10259999	9028273.639	0.9959443795
10439999	9047256.242	0.9976987656
10619999	9045796.056	0.9951179273
10799999	9017798.577	0.9924138139
10979999	9059808.713	0.9990380174
11159999	9010879.992	0.9951989445
11339999	9452363.958	0.9979751877
11519999	9033961.511	1.005261457
11699999	9459675.209	0.9992007683
11879999	9030582.943	1.0028455
12059999	9050117.953	1.005547443
12239999	9028302.308	0.9993759119
12419999	9018431.606	1.000439811
12599999	9025381.265	0.9958694107
12779999	9045944.685	0.9985567821
12959999	9053905.126	0.9931914522
13139999	9021445.09	0.9987214003
13319999	9044696.998	0.9980384088
13499999	9054429.109	0.9978370309
13679999	9041052.04	1.010743531
13859999	9031415.841	1.004936166
14039999	9050353.655	0.9975092725
14219999	9036445.907	0.991911269
14399999	9041854.909	1.00197904
14579999	9041987.414	1.003209093
14759999	9051287.663	1.00190824
14939999	9028608.375	0.9901178867
15119999	9052190.925	1.000860219
15299999	9033907.665	0.9988693483
15479999	9052606.438	1.000748407
15659999	9025166.822	1.00165396
15839999	9042716.969	1.006056109
16019999	9042352.282	0.9975751718
16199999	9038301.907	1.001191216
16379999	9041853.418	0.9970636523
16559999	9057034.615	0.9943473101
16739999	9033026.528	0.994714005
16919999	9016611.102	0.991663853
17099999	9052984.382	1.001386851
17279999	9060319.416	1.005715654
17459999	9015416.834	1.004287983
17639999	9026232.597	1.001412777
17819999	9018717.368	1.004864101
17999999	9051380.82	0.9998914108
18179999	9031826.841	1.002812863
18359999	9031371.546	0.9951546562
18539999	9027007.977	0.9968083318
18719999	9034894.929	0.9871263754
18899999	9058033.289	0.9924842264
