timestep	potential_energy	temperature
179999	17416649.54	1.002620555
359999	17341775.27	0.9927472762
539999	17847847.32	1.007186188
719999	14880634.59	1.00639045
899999	14862476.26	1.000566635
1079999	15016080.19	0.998035426
1259999	17803530.83	1.001992079
1439999	14845000.94	1.0048037
1619999	15358498.66	1.002275729
1799999	18063809.81	1.0017508
1979999	14893838.9	0.995250186
2159999	18685249.23	1.001494121
2339999	15571065.94	0.9980973415
2519999	14861715.13	1.002253641
2699999	15853725.52	1.001338506
2879999	14844345.44	0.9994882978
3059999	16982836.58	1.000233728
3239999	15057229.15	0.9987449386
3419999	14849583.32	0.9980258614
3599999	15469818.81	1.00593238
3779999	15897114.17	0.9979958351
3959999	14858303.92	1.003079217
4139999	14876393.92	0.9985382165
4319999	18147517.69	1.00045042
4499999	17551838.22	1.001207604
4679999	17557711.81	1.002704861
4859999	17381961.08	0.994757047
5039999	14877441.14	0.9973476
5219999	15776770.53	1.004369417
5399999	18281191.43	0.9975697682
5579999	16493727.54	1.001356734
5759999	14845733.77	0.9946579247
5939999	14847425.22	0.9924038604
6119999	16363024.44	1.005235702
6299999	18406399.31	1.010369559
6479999	14972502.51	1.012374644
6659999	14855355.37	0.9980155452
6839999	15024941.47	1.001554885
7019999	14852948.2	0.9844669113
7199999	15627645.24	1.003779215
7379999	18079453.77	0.9993502934
7559999	17640486.08	0.9981342606
7739999	17398220.14	0.9966104532
7919999	14860365.93	1.006072699
8099999	14850566.33	1.005573741
8279999	14838996.49	0.9979390501
8459999	14847067.32	0.9989799968
8639999	17223842.64	1.006732459
8819999	16415918.6	0.9962013094
8999999	14850341.12	1.000655688
9179999	18033380.07	0.999378334
9359999	15036037.82	1.001928565
9539999	16508831.98	1.005344281
9719999	14835625.34	1.008248707
9899999	15576428.4	0.9926527481
10079999	17102712.3	0.9973583207
10259999	14845875.12	0.9970813517
10439999	14853455.79	1.001866147
10619999	15475001.79	1.011238314
10799999	14868499.88	1.011744788
10979999	14907704.29	0.9911552855
11159999	16474823.75	0.9946910901
11339999	14839969.26	1.001564652
11519999	14896643.76	0.991219902
11699999	14856766.87	1.002964963
11879999	19322071.56	0.9980029051
12059999	15209877.11	1.004510381
12239999	18237819.2	1.009358382
12419999	14882431	0.9977557561
12599999	18036779.06	0.9963190792
12779999	17721707.43	1.002030079
12959999	14907723.76	0.9959634044
13139999	14926626.04	0.997034369
13319999	17506922.24	0.998223315
13499999	17423880.75	1.005813743
13679999	17441750.66	1.000606183
13859999	14898262.47	0.9931715029
14039999	15326301.41	0.9867205692
14219999	18030855.57	0.9989779445
14399999	16537629.36	0.998210702
14579999	14855591.43	0.9977218334
14759999	14881009.7	1.009665978
14939999	14846694.8	1.00844599
15119999	16540656.09	0.999783857
15299999	16212802.93	1.004126621
15479999	15012066.44	1.00720188
15659999	14892386.09	1.000548002
15839999	18202435.14	1.003434718
16019999	15358677.74	0.9947494362
16199999	14858041.58	1.006248933
16379999	14845594.02	1.005409807
16559999	14866257.75	0.9926445761
16739999	14858591.53	1.001972175
16919999	15838933.52	0.9987858261
17099999	15012806.78	0.9902779898
17279999	15634813.07	1.00176891
17459999	14976776.57	0.9994365873
17639999	14871317.01	0.9979572382
17819999	14905615.58	0.9977721716
17999999	14862209.6	0.9978379263
18179999	15037577.45	1.005762348
18359999	19558625	0.9967711347
18539999	15093818.13	1.003505153
18719999	14860146.05	0.997810744
18899999	14849071.03	1.0000209
