timestep	potential_energy	temperature
179999	4269699.553	0.9963115708
359999	3764972.634	1.000752356
539999	3756950.685	1.003499342
719999	3764732.142	1.00688837
899999	3761915.191	1.00864438
1079999	3761046.748	1.004327159
1259999	3739125.155	0.9974718886
1439999	3746214.56	0.9989253468
1619999	3738374.843	1.004764833
1799999	3752279.331	0.9999231049
1979999	3764070.878	1.003178199
2159999	3744273.374	0.9955725686
2339999	3774761.188	0.9951100197
2519999	3753154.83	1.000476766
2699999	3768855.175	0.9958134252
2879999	3760611.133	1.007492554
3059999	3765987.349	1.006544564
3239999	3749237.63	0.9973746187
3419999	3766076.08	0.9992922636
3599999	3784924.62	0.9961230411
3779999	3760880.567	1.010225313
3959999	3767152.79	1.001296974
4139999	3756118.665	0.9975128478
4319999	3746520.587	0.9973649328
4499999	3756919.626	0.9936342296
4679999	3764120.422	1.004650487
4859999	3768221.271	0.9981150777
5039999	3765218.127	1.006896386
5219999	3750989.825	0.9972075995
5399999	3760054.437	0.9959009853
5579999	3766765.889	0.9997938599
5759999	3766543.43	1.002014085
5939999	3759926.754	0.9992236727
6119999	3736499.644	0.9982708429
6299999	3757456.787	0.9991021909
6479999	3774183.11	0.9997585157
6659999	3757855.553	0.9923741843
6839999	3763620.46	0.9985559137
7019999	3756481.584	1.003143848
7199999	3760013.83	1.000659374
7379999	3764097.821	0.995091202
7559999	3752452.64	0.9909461404
7739999	3758737.25	0.9879128776
7919999	3756938.936	0.9935375272
8099999	3774078.378	0.9998738993
8279999	3771765.438	0.9927091666
8459999	3770300.329	1.000822736
8639999	3762791.716	1.004346993
8819999	3755576.395	1.001761642
8999999	3765671.232	0.9940306076
9179999	3759415.222	0.9915221714
9359999	3749164.289	1.000749099
9539999	3751547.188	1.009942562
9719999	3742941.625	0.9961564689
9899999	3756472.978	1.000086472
10079999	3766313.649	1.010565569
10259999	3753495.584	0.9973206625
10439999	3734513.14	1.001270204
10619999	3771435.545	1.010380007
10799999	3766162.017	0.9947457409
10979999	3752661.457	0.997638064
11159999	3736703.215	0.9913284737
11339999	3774075.354	1.007727666
11519999	3755513.617	0.9919490666
11699999	3757193.206	1.002375408
11879999	3762035.296	1.004707713
12059999	3767873.289	0.9911467259
12239999	3779863.274	1.001677174
12419999	3754677.45	0.9968192024
12599999	3769058.356	0.9998045441
12779999	3735480.44	1.002971768
12959999	3742342.247	0.9995328577
13139999	3745978.601	1.001229767
13319999	3761420.583	1.010062186
13499999	3748389.438	0.9922553659
13679999	3763267.008	0.9980343762
13859999	3747270.688	1.000332608
14039999	3757076.055	0.9998949633
14219999	3744125.319	1.004717574
14399999	3754387.109	0.9973420145
14579999	3747159.826	1.000574246
14759999	3767817.676	1.007395606
14939999	3767954.277	0.9986973387
15119999	3775535.465	1.008122645
15299999	3756618.948	1.003812949
15479999	3756166.609	1.004044935
15659999	3770326.695	0.9955044741
15839999	3761426.322	0.9886366085
16019999	3765257.912	1.002833887
16199999	3752915.042	0.997358937
16379999	3761646.294	0.9965653663
16559999	3767192.206	1.008398103
16739999	3763912.805	1.001225409
16919999	3759579.594	1.000714593
17099999	3759542.082	1.004555167
17279999	3773996.335	1.008957637
17459999	3768715.554	1.00120513
17639999	3762134.857	0.9948541307
17819999	3783109.005	0.9912175014
17999999	3771208.751	0.9941523213
18179999	3757993.61	1.00148367
18359999	3760543.118	1.000059226
18539999	3765186.469	1.003855617
18719999	3760689.663	1.000824905
18899999	3754325.484	0.9934684968
