timestep	potential_energy	temperature
179999	11842947.76	0.9922412242
359999	11146337.14	1.001245224
539999	10840454.17	0.9868623449
719999	11020284.58	0.9963889237
899999	10920561.06	0.9975783955
1079999	11091078.35	0.9957123468
1259999	10981153.3	0.997703908
1439999	10886925.87	1.011198988
1619999	11153107.65	1.001157766
1799999	10909496.31	0.9970662424
1979999	11149974.94	1.000741218
2159999	10947122.17	0.9979613322
2339999	10927602.99	0.9997928686
2519999	11039440.04	1.003429809
2699999	11034859.01	1.000130501
2879999	10910034.56	1.002749842
3059999	10847452.14	0.9990030583
3239999	11038397.08	1.002136861
3419999	10981261.47	1.002744582
3599999	10820583.75	0.9895918867
3779999	11068162.16	1.004112013
3959999	11041392.11	0.9960476126
4139999	10915117.33	1.000527481
4319999	11022191.98	1.005027316
4499999	10947434.27	1.004323083
4679999	11038123.3	0.9985134767
4859999	10907682.44	1.002306959
5039999	10836941.72	0.9997689067
5219999	11257291.41	1.001949154
5399999	11226623.35	1.001923826
5579999	10901531.42	1.004177747
5759999	11040208.78	0.9965813196
5939999	10978109.11	1.001125647
6119999	10898261.27	1.003031931
6299999	11086324.92	1.004526057
6479999	10831198.17	0.994940112
6659999	10900006.7	1.003220821
6839999	11047119.55	0.9926290355
7019999	10999492.43	1.002952814
7199999	11129384.69	1.006084235
7379999	11032723.24	1.003430697
7559999	10877535.95	0.989679283
7739999	11001752.33	1.00552354
7919999	11015889.68	1.001873751
8099999	11101862.78	0.9929974477
8279999	10957748.06	1.003378928
8459999	10973011.34	1.001524193
8639999	10908058.71	0.9988458194
8819999	10851493.44	1.005602471
8999999	10840786.31	1.000301672
9179999	10857223.52	0.9982389434
9359999	10830167.31	0.9925304877
9539999	10856000.12	0.9990375986
9719999	11041905.69	0.9915591596
9899999	11010042.86	1.000158845
10079999	10842540.85	0.999548422
10259999	10849518.52	1.003535083
10439999	10861699.16	1.008656304
10619999	11113506.18	0.9956357014
10799999	11132499.27	1.000757606
10979999	10932064.45	0.9961109292
11159999	10939903.51	1.0020404
11339999	11009449.61	0.9978702032
11519999	10952626.36	0.9947678319
11699999	10862957.96	1.001744178
11879999	11156865.45	1.006362918
12059999	10868980.23	0.9910214343
12239999	11044361.99	1.002586972
12419999	10996561.24	1.000212005
12599999	10855828.36	1.002280215
12779999	10864343.37	1.003027635
12959999	10860649.83	1.001699986
13139999	10920112.22	1.004355674
13319999	11095717.88	0.9973556885
13499999	10985879.22	0.9947358425
13679999	10833814.06	0.9855918306
13859999	11013408.01	1.003000886
14039999	11006005.8	1.003517147
14219999	10857533.06	0.9978384728
14399999	11014954.1	0.9991593201
14579999	10997243.49	1.000272698
14759999	11069008.41	1.001137161
14939999	11048729.62	0.9988740282
15119999	10861079.32	1.001944391
15299999	10956471.25	0.9932512092
15479999	11051060.38	0.9985127335
15659999	10869134.11	1.011172774
15839999	11046273.54	1.004423613
16019999	11039556.3	1.002774382
16199999	10878356.9	0.9979272661
16379999	10851014.03	0.9988662182
16559999	10836442.22	0.994667489
16739999	10844883.98	0.9941633576
16919999	10925508.51	1.000650987
17099999	11039282.58	1.003602376
17279999	11220462.28	0.9985783905
17459999	10868985.69	1.003163405
17639999	10857118.25	0.9965099042
17819999	10835898.32	0.9992503874
17999999	10984710.99	1.002331397
18179999	10843071.14	0.9962939878
18359999	10902788.17	1.008079602
18539999	10913667.98	0.9999124201
18719999	11002716.46	1.002679352
18899999	10846545.81	1.000004756
