timestep	potential_energy	temperature
179999	10448159.15	1.005396128
359999	9213312.59	1.001850255
539999	8220878.999	0.9990351467
719999	8245990.061	0.9979517264
899999	8211187.931	0.9917092388
1079999	8210191.278	0.9997727439
1259999	8214357.46	1.011587046
1439999	8215685.552	0.9953125985
1619999	8224012.056	0.9974034631
1799999	8218453.804	0.9984327398
1979999	8217048.311	0.999338591
2159999	8220179.909	1.006980511
2339999	8223674.785	0.9949789908
2519999	8220091.873	1.006553348
2699999	8225571.406	1.00645283
2879999	8219199.215	1.006423936
3059999	8211596.591	1.001616073
3239999	8217313.032	1.005647163
3419999	8216401.13	1.002754992
3599999	8228847.824	1.002048741
3779999	8206765.852	0.9982903732
3959999	8214954.66	1.003254498
4139999	8219837.307	1.005075303
4319999	8219820.597	1.013308989
4499999	8226199.764	1.003495159
4679999	8215359.059	1.006822018
4859999	8214948.798	1.007128569
5039999	8221442.536	1.002283301
5219999	8233558.992	0.9968665217
5399999	8214114.435	0.9977150342
5579999	8221994.6	0.99379323
5759999	8221791.661	0.9961099316
5939999	8217351.254	1.004360848
6119999	8213918.104	0.9980729025
6299999	8217269.783	1.002670218
6479999	8221923.649	1.003436446
6659999	8227691.662	0.9979531233
6839999	8215557.407	1.002861328
7019999	8206774.137	0.996342349
7199999	8221827.455	1.000763354
7379999	8240146.678	0.9994681707
7559999	8215894.392	1.001213733
7739999	8209983.918	0.9994265453
7919999	8225014.614	1.011448511
8099999	8222925.259	1.000954749
8279999	8227465.127	1.013656136
8459999	8226861.998	0.9983945176
8639999	8220704.595	1.002291593
8819999	8249362.115	1.0064394
8999999	8217190.31	0.9968700394
9179999	8205448.182	1.008096409
9359999	8262811.009	1.002127798
9539999	8223155.731	1.001054732
9719999	8232991.3	0.9947737679
9899999	8216693.318	0.9962540129
10079999	8218703.924	0.9949994743
10259999	8218815.363	1.00572683
10439999	8219178.319	1.003539421
10619999	8226387.756	0.9980423914
10799999	8224830.664	1.002689053
10979999	8231023.27	1.006091803
11159999	8211774.331	1.00233361
11339999	8208624.146	0.9956654707
11519999	8215029.52	1.002566828
11699999	8223800.292	1.00100011
11879999	8211353.513	0.9994868128
12059999	8223492.671	0.9960624443
12239999	8221491.007	0.9941723922
12419999	8227560.413	1.007299318
12599999	8229786.155	0.9980174899
12779999	8218915.25	0.9945239778
12959999	8217073.609	0.9988405402
13139999	8225865.813	0.9993015927
13319999	8211805.352	0.9960949267
13499999	8206765.184	1.002789556
13679999	8226091.867	1.003012481
13859999	8226542.245	0.9994040424
14039999	8225012.278	1.00621532
14219999	8207661.423	0.9977038229
14399999	8228050.123	0.9971635755
14579999	8209068.652	0.996656021
14759999	8225066.333	1.003778083
14939999	8219061.816	1.002693255
15119999	8220178.47	0.9944876161
15299999	8205041.25	1.011550796
15479999	8225589.991	0.9933533434
15659999	8206147.608	1.008000733
15839999	8209958.125	1.002320337
16019999	8218293.615	0.9948884666
16199999	8246990.259	1.002673252
16379999	8208875.055	0.9917705896
16559999	8221690.356	0.9964041735
16739999	8213501.346	0.9999368862
16919999	8220689.017	1.002907466
17099999	8219719.748	0.9996352384
17279999	8224233.874	1.003310366
17459999	8229024.66	0.998759911
17639999	8206978.19	0.9940304282
17819999	8220875.669	1.002789666
17999999	8216833.845	1.00660958
18179999	8238612.829	1.007601573
18359999	8217145.195	1.001184042
18539999	8221076.601	1.000047272
18719999	8218083.959	1.007704296
18899999	8214257.966	1.002091932
