timestep	potential_energy	temperature
179999	5571411.992	1.003761305
359999	4082210.07	0.9997755574
539999	3768706.242	0.9999002784
719999	3750232.097	1.000211881
899999	3750882.934	0.9981819323
1079999	3768512.045	1.007655065
1259999	3763772.027	0.998253927
1439999	3763325.822	0.9966413487
1619999	3756885.734	1.003315035
1799999	3755234.367	1.00141398
1979999	3744015.457	1.005077463
2159999	3757898.899	1.003602576
2339999	3753552.418	0.9898127495
2519999	3761350.727	1.000745037
2699999	3752117.702	0.9998705088
2879999	3750935.985	1.006532396
3059999	3759062.886	0.9885533162
3239999	3747062.11	0.9957339554
3419999	3750058.031	1.002590806
3599999	3764252.339	0.9976685006
3779999	3750431.194	1.005150798
3959999	3755669.679	0.9921237994
4139999	3752373.172	0.9985242794
4319999	3761814.003	0.9950577914
4499999	3759791.029	1.004286269
4679999	3745049.839	0.9892615095
4859999	3768608.021	1.001755196
5039999	3750819.733	1.001819833
5219999	3746776.835	0.99893679
5399999	3754448.501	0.9975074206
5579999	3765631.7	1.002299042
5759999	3759031.325	0.9880768324
5939999	3748201.484	1.004695052
6119999	3747665.417	1.004528026
6299999	3759218.201	1.002704068
6479999	3738549.069	1.002105845
6659999	3767640.074	1.00392867
6839999	3766793.807	0.9998741955
7019999	3756852.312	0.995114102
7199999	3745235.803	1.000205104
7379999	3761225.022	1.003806235
7559999	3752809.268	1.000715442
7739999	3766347.978	1.007874681
7919999	3750065.291	0.9986950082
8099999	3742548.175	1.001919575
8279999	3746233.942	0.989728234
8459999	3765432.532	0.996445548
8639999	3737853.885	1.000688344
8819999	3752938.921	0.9954982732
8999999	3742422.494	1.010850257
9179999	3736904.314	1.005626066
9359999	3747825.258	0.9975202786
9539999	3735345.661	0.991590361
9719999	3763991.403	0.9986646474
9899999	3765902.481	1.003152143
10079999	3743579.231	0.9993376049
10259999	3743106.18	0.9960542425
10439999	3755502.215	0.9912731548
10619999	3771680.962	1.000506739
10799999	3765759.983	0.997861228
10979999	3766368.575	0.9957414175
11159999	3758597.471	1.007311208
11339999	3750305.871	1.003248174
11519999	3757366.122	1.002528989
11699999	3765132.914	1.001759186
11879999	3756074.741	0.9974992197
12059999	3768964.793	1.001307513
12239999	3762218.616	1.002262748
12419999	3743623.108	0.9891941242
12599999	3760772.655	0.9990650141
12779999	3743710.121	1.000190531
12959999	3754428.931	1.005206456
13139999	3761380.322	0.9944951878
13319999	3742561.339	1.005311359
13499999	3760853.537	1.005981232
13679999	3747207.043	1.00307832
13859999	3760608.679	0.9966116585
14039999	3741318.846	1.002703064
14219999	3746906.658	0.9979165526
14399999	3751876.513	1.002527078
14579999	3764259.006	1.006557961
14759999	3766063.011	1.002303981
14939999	3765909.848	1.00289552
15119999	3734171.124	1.000914744
15299999	3744715.586	1.001671538
15479999	3744423.389	1.00282698
15659999	3771709.72	1.006404743
15839999	3754708.22	1.001046898
16019999	3753308.152	1.00573951
16199999	3758754.873	0.9946300056
16379999	3748427.564	0.9984714326
16559999	3756207.256	1.001204758
16739999	3756346.338	0.9972575352
16919999	3746609.067	1.000870293
17099999	3745802.247	0.9979255784
17279999	3755896.958	0.9993452587
17459999	3749208.152	0.9946372428
17639999	3780743.354	1.002187144
17819999	3750555.321	0.9999606079
17999999	3751322.902	0.9962343922
18179999	3736978.538	0.9950788662
18359999	3760412.564	0.9914892579
18539999	3763584.54	1.006448402
18719999	3762861.946	1.007716948
18899999	3760384.832	0.9969536241
