timestep	potential_energy	temperature
179999	10747539.82	1.007553934
359999	9035829.508	0.9999573307
539999	9047302.659	0.9937183743
719999	9020038.69	1.000166914
899999	9019743.22	1.001007424
1079999	9024724.643	0.9946816409
1259999	9028851.172	0.9977946224
1439999	9036674.708	0.9949719041
1619999	9033531.404	0.9913893492
1799999	9017291.268	1.003128746
1979999	9026706.771	0.9998374385
2159999	9017191.656	0.9940218018
2339999	9456567.858	1.001281216
2519999	9018888.708	0.9997387501
2699999	9037243.05	0.9901205615
2879999	9458568.426	0.9959521482
3059999	9024122.989	1.00223639
3239999	9048943.272	0.9983304177
3419999	9046020.413	0.9999565488
3599999	9009713.866	1.006757959
3779999	9009964.39	0.9995347654
3959999	9021023.964	0.994267257
4139999	9032654.905	0.9946950499
4319999	9010003.055	1.004310566
4499999	9018778.898	0.9949731539
4679999	9022320.855	0.9937557583
4859999	9031611.155	1.001099188
5039999	9020732.834	0.9993341796
5219999	9045815.893	1.001086182
5399999	9020602.208	0.9987378365
5579999	9020628.636	1.003649433
5759999	9028956.665	1.00199672
5939999	9033959.817	0.9992616684
6119999	9013908.039	0.9967654361
6299999	9019658.103	0.9983779946
6479999	9004888.567	0.9944813853
6659999	9037169.931	0.9991710792
6839999	9029317.106	1.001589822
7019999	9041230.863	0.9888465009
7199999	9015865.807	1.008990911
7379999	9467173.25	0.9944251357
7559999	9026690.797	1.000134061
7739999	9030363.385	0.9938381652
7919999	9019387.229	0.9915540145
8099999	9017980.55	1.001670626
8279999	9029805.314	1.004187478
8459999	9028363.469	1.000143998
8639999	9024017.186	1.000607837
8819999	9035448.574	0.9965651998
8999999	9025705.925	1.002214101
9179999	9055644.552	0.9881913712
9359999	9018945.576	0.9979623284
9539999	9050556.9	0.9956224137
9719999	9008378.209	0.9999240224
9899999	9021923.275	0.9990385217
10079999	9029138.379	1.005312891
10259999	9018006.614	0.9982755533
10439999	9030681.242	0.9984135913
10619999	9025902.677	0.9915220359
10799999	9043783.292	1.00280674
10979999	9030519.862	0.9867866184
11159999	9030589.217	1.009148314
11339999	9014886.986	0.9943167379
11519999	9026370.288	0.9989410134
11699999	9018049.548	1.003593746
11879999	9022312.28	0.9957304452
12059999	9023886.442	1.001617059
12239999	9023158.581	0.9988909452
12419999	9021875.664	0.9977648137
12599999	9034660.694	1.002497558
12779999	9024366.485	1.002249661
12959999	9036754.237	1.004168815
13139999	9012960.01	0.9938814443
13319999	9024869.154	1.003252586
13499999	9009865.067	1.005204345
13679999	9041019.185	0.9994065733
13859999	9040239.091	0.998582618
14039999	9032647.544	1.007227433
14219999	9027604.201	0.9990654538
14399999	9030231.298	1.005089127
14579999	9037369.086	1.000685465
14759999	9028477.56	0.9882032443
14939999	9054705.973	0.9915770488
15119999	9028984.523	0.9975252783
15299999	9036829.535	0.9922440004
15479999	9007243.023	0.9974818314
15659999	9019350.596	1.003923532
15839999	9034878.601	1.000214994
16019999	9033077.896	1.006236574
16199999	9026136.396	0.9950984464
16379999	9055594.255	1.003417848
16559999	9048301.483	0.9980111533
16739999	9016663.12	0.9999332684
16919999	9020060.518	0.9945512203
17099999	9028778.337	1.001769197
17279999	9047860.728	0.9922949827
17459999	9022463.459	0.9982004636
17639999	9026200.36	0.9982067856
17819999	9034156.441	1.011535389
17999999	9012581.471	1.003099706
18179999	9022208.272	0.9962142765
18359999	9021823.171	1.005203079
18539999	9014861.445	0.9981118997
18719999	9036872.565	0.9980421937
18899999	9035400.749	0.9909082665
